episode 1 took 1150 iterations, avg loss = 0.046249, sum_reward = -21, curr_eps = 0.998966, len(experience) = 1146
episode 20 took 1396 iterations, avg loss = 0.043760, sum_reward = -19, curr_eps = 0.977861, len(experience) = 24520
episode 21 took 1174 iterations, avg loss = 0.043530, sum_reward = -21, curr_eps = 0.976804, len(experience) = 25690
episode 22 took 1210 iterations, avg loss = 0.042941, sum_reward = -20, curr_eps = 0.975715, len(experience) = 26896
episode 23 took 1136 iterations, avg loss = 0.043028, sum_reward = -21, curr_eps = 0.974693, len(experience) = 28028
episode 24 took 1259 iterations, avg loss = 0.043129, sum_reward = -19, curr_eps = 0.973560, len(experience) = 29283
episode 25 took 1209 iterations, avg loss = 0.042268, sum_reward = -21, curr_eps = 0.972472, len(experience) = 30488
episode 26 took 1125 iterations, avg loss = 0.042951, sum_reward = -20, curr_eps = 0.971459, len(experience) = 31609
episode 27 took 1232 iterations, avg loss = 0.041786, sum_reward = -19, curr_eps = 0.970350, len(experience) = 32837
episode 28 took 1543 iterations, avg loss = 0.041222, sum_reward = -18, curr_eps = 0.968962, len(experience) = 34376
episode 29 took 1357 iterations, avg loss = 0.041553, sum_reward = -20, curr_eps = 0.967740, len(experience) = 35729
episode 30 took 1373 iterations, avg loss = 0.040617, sum_reward = -19, curr_eps = 0.966505, len(experience) = 37098
episode 31 took 1150 iterations, avg loss = 0.039778, sum_reward = -21, curr_eps = 0.965470, len(experience) = 38244
episode 32 took 1115 iterations, avg loss = 0.040282, sum_reward = -21, curr_eps = 0.964466, len(experience) = 39355
episode 33 took 1354 iterations, avg loss = 0.039790, sum_reward = -20, curr_eps = 0.963248, len(experience) = 40705
episode 34 took 1056 iterations, avg loss = 0.039676, sum_reward = -21, curr_eps = 0.962297, len(experience) = 41757
episode 35 took 1050 iterations, avg loss = 0.039558, sum_reward = -21, curr_eps = 0.961352, len(experience) = 42803
episode 36 took 1387 iterations, avg loss = 0.039041, sum_reward = -20, curr_eps = 0.960104, len(experience) = 44186
episode 37 took 1189 iterations, avg loss = 0.039748, sum_reward = -20, curr_eps = 0.959034, len(experience) = 45371
episode 38 took 1157 iterations, avg loss = 0.038685, sum_reward = -20, curr_eps = 0.957993, len(experience) = 46524
episode 39 took 1158 iterations, avg loss = 0.039474, sum_reward = -21, curr_eps = 0.956950, len(experience) = 47678
episode 40 took 1386 iterations, avg loss = 0.039000, sum_reward = -20, curr_eps = 0.955703, len(experience) = 49060
episode 41 took 1302 iterations, avg loss = 0.038910, sum_reward = -21, curr_eps = 0.954531, len(experience) = 50358
episode 42 took 1067 iterations, avg loss = 0.039000, sum_reward = -21, curr_eps = 0.953571, len(experience) = 51421
episode 43 took 1388 iterations, avg loss = 0.038912, sum_reward = -21, curr_eps = 0.952322, len(experience) = 52805
episode 44 took 1240 iterations, avg loss = 0.038768, sum_reward = -20, curr_eps = 0.951206, len(experience) = 54041
episode 45 took 1216 iterations, avg loss = 0.039008, sum_reward = -21, curr_eps = 0.950111, len(experience) = 55253
episode 46 took 1117 iterations, avg loss = 0.038780, sum_reward = -20, curr_eps = 0.949106, len(experience) = 56366
episode 47 took 1241 iterations, avg loss = 0.038042, sum_reward = -20, curr_eps = 0.947989, len(experience) = 57603
episode 48 took 1213 iterations, avg loss = 0.038339, sum_reward = -21, curr_eps = 0.946897, len(experience) = 58812
episode 49 took 1389 iterations, avg loss = 0.038394, sum_reward = -21, curr_eps = 0.945647, len(experience) = 60197
episode 50 took 1399 iterations, avg loss = 0.038400, sum_reward = -20, curr_eps = 0.944388, len(experience) = 61592
episode 51 took 1094 iterations, avg loss = 0.038342, sum_reward = -21, curr_eps = 0.943403, len(experience) = 62682
episode 52 took 1235 iterations, avg loss = 0.038944, sum_reward = -20, curr_eps = 0.942292, len(experience) = 63913
episode 53 took 1164 iterations, avg loss = 0.038284, sum_reward = -20, curr_eps = 0.941244, len(experience) = 65073
episode 54 took 1513 iterations, avg loss = 0.037881, sum_reward = -20, curr_eps = 0.939883, len(experience) = 66582
episode 55 took 1048 iterations, avg loss = 0.038462, sum_reward = -21, curr_eps = 0.938940, len(experience) = 67626
episode 56 took 1373 iterations, avg loss = 0.038214, sum_reward = -19, curr_eps = 0.937704, len(experience) = 68995
episode 57 took 1376 iterations, avg loss = 0.038574, sum_reward = -21, curr_eps = 0.936465, len(experience) = 70367
episode 58 took 1194 iterations, avg loss = 0.038573, sum_reward = -20, curr_eps = 0.935391, len(experience) = 71557
episode 59 took 1349 iterations, avg loss = 0.038294, sum_reward = -20, curr_eps = 0.934177, len(experience) = 72902
episode 60 took 1272 iterations, avg loss = 0.037898, sum_reward = -21, curr_eps = 0.933032, len(experience) = 74170
episode 61 took 1239 iterations, avg loss = 0.037610, sum_reward = -20, curr_eps = 0.931917, len(experience) = 75405
episode 62 took 1695 iterations, avg loss = 0.038376, sum_reward = -17, curr_eps = 0.930391, len(experience) = 77096
episode 63 took 1137 iterations, avg loss = 0.037302, sum_reward = -21, curr_eps = 0.929368, len(experience) = 78229
episode 64 took 1295 iterations, avg loss = 0.037630, sum_reward = -20, curr_eps = 0.928203, len(experience) = 79520
episode 65 took 1325 iterations, avg loss = 0.037795, sum_reward = -20, curr_eps = 0.927010, len(experience) = 80841
episode 66 took 1684 iterations, avg loss = 0.037479, sum_reward = -20, curr_eps = 0.925494, len(experience) = 82521
episode 67 took 1496 iterations, avg loss = 0.038630, sum_reward = -19, curr_eps = 0.924148, len(experience) = 84013
episode 68 took 1168 iterations, avg loss = 0.037743, sum_reward = -21, curr_eps = 0.923097, len(experience) = 85177
episode 69 took 1304 iterations, avg loss = 0.037091, sum_reward = -20, curr_eps = 0.921923, len(experience) = 86477
episode 70 took 1220 iterations, avg loss = 0.037820, sum_reward = -21, curr_eps = 0.920825, len(experience) = 87693
episode 71 took 1122 iterations, avg loss = 0.038170, sum_reward = -21, curr_eps = 0.919815, len(experience) = 88811
episode 72 took 1095 iterations, avg loss = 0.037521, sum_reward = -21, curr_eps = 0.918830, len(experience) = 89902
episode 73 took 1180 iterations, avg loss = 0.037040, sum_reward = -21, curr_eps = 0.917768, len(experience) = 91078
episode 74 took 1290 iterations, avg loss = 0.037900, sum_reward = -21, curr_eps = 0.916607, len(experience) = 92364
episode 75 took 1179 iterations, avg loss = 0.037099, sum_reward = -21, curr_eps = 0.915546, len(experience) = 93539
episode 76 took 1106 iterations, avg loss = 0.037997, sum_reward = -21, curr_eps = 0.914550, len(experience) = 94641
episode 77 took 1110 iterations, avg loss = 0.037772, sum_reward = -21, curr_eps = 0.913551, len(experience) = 95747
episode 78 took 1163 iterations, avg loss = 0.037723, sum_reward = -21, curr_eps = 0.912505, len(experience) = 96906
episode 79 took 1132 iterations, avg loss = 0.037691, sum_reward = -21, curr_eps = 0.911486, len(experience) = 98034
episode 80 took 1354 iterations, avg loss = 0.037434, sum_reward = -20, curr_eps = 0.910267, len(experience) = 99384
episode 81 took 1218 iterations, avg loss = 0.036804, sum_reward = -20, curr_eps = 0.909171, len(experience) = 100598
episode 82 took 1103 iterations, avg loss = 0.037492, sum_reward = -21, curr_eps = 0.908178, len(experience) = 101697
episode 83 took 1447 iterations, avg loss = 0.037808, sum_reward = -20, curr_eps = 0.906876, len(experience) = 103140
episode 84 took 1604 iterations, avg loss = 0.037664, sum_reward = -18, curr_eps = 0.905432, len(experience) = 104740
episode 85 took 1317 iterations, avg loss = 0.037503, sum_reward = -20, curr_eps = 0.904247, len(experience) = 106053
episode 86 took 1064 iterations, avg loss = 0.036894, sum_reward = -21, curr_eps = 0.903290, len(experience) = 107113
episode 87 took 1165 iterations, avg loss = 0.037281, sum_reward = -21, curr_eps = 0.902241, len(experience) = 108274
episode 88 took 1218 iterations, avg loss = 0.037389, sum_reward = -21, curr_eps = 0.901145, len(experience) = 109488
episode 89 took 1492 iterations, avg loss = 0.037221, sum_reward = -19, curr_eps = 0.899802, len(experience) = 110976
episode 90 took 1503 iterations, avg loss = 0.037093, sum_reward = -21, curr_eps = 0.898449, len(experience) = 112475
episode 91 took 1141 iterations, avg loss = 0.037351, sum_reward = -20, curr_eps = 0.897423, len(experience) = 113612
episode 92 took 1366 iterations, avg loss = 0.037748, sum_reward = -19, curr_eps = 0.896193, len(experience) = 114974
episode 93 took 1337 iterations, avg loss = 0.037571, sum_reward = -21, curr_eps = 0.894990, len(experience) = 116307
episode 94 took 1110 iterations, avg loss = 0.038072, sum_reward = -20, curr_eps = 0.893991, len(experience) = 117413
episode 95 took 1299 iterations, avg loss = 0.037430, sum_reward = -20, curr_eps = 0.892822, len(experience) = 118708
episode 96 took 1166 iterations, avg loss = 0.037411, sum_reward = -21, curr_eps = 0.891772, len(experience) = 119870
episode 97 took 1130 iterations, avg loss = 0.037636, sum_reward = -21, curr_eps = 0.890755, len(experience) = 120996
episode 98 took 1283 iterations, avg loss = 0.036786, sum_reward = -20, curr_eps = 0.889601, len(experience) = 122275
episode 99 took 1088 iterations, avg loss = 0.037469, sum_reward = -21, curr_eps = 0.888621, len(experience) = 123359
episode 100 took 1117 iterations, avg loss = 0.037612, sum_reward = -21, curr_eps = 0.887616, len(experience) = 124472
episode 101 took 1105 iterations, avg loss = 0.036957, sum_reward = -21, curr_eps = 0.886622, len(experience) = 125573
episode 102 took 1190 iterations, avg loss = 0.036628, sum_reward = -20, curr_eps = 0.885551, len(experience) = 126759
episode 103 took 1110 iterations, avg loss = 0.036962, sum_reward = -21, curr_eps = 0.884552, len(experience) = 127865
episode 104 took 1167 iterations, avg loss = 0.037130, sum_reward = -21, curr_eps = 0.883501, len(experience) = 129028
episode 105 took 1064 iterations, avg loss = 0.037349, sum_reward = -21, curr_eps = 0.882544, len(experience) = 130088
episode 106 took 1223 iterations, avg loss = 0.036643, sum_reward = -21, curr_eps = 0.881443, len(experience) = 131307
episode 107 took 1286 iterations, avg loss = 0.036898, sum_reward = -20, curr_eps = 0.880286, len(experience) = 132589
episode 108 took 1191 iterations, avg loss = 0.037395, sum_reward = -20, curr_eps = 0.879214, len(experience) = 133776
episode 109 took 1303 iterations, avg loss = 0.037037, sum_reward = -19, curr_eps = 0.878041, len(experience) = 135075
episode 110 took 1162 iterations, avg loss = 0.036868, sum_reward = -20, curr_eps = 0.876995, len(experience) = 136233
episode 111 took 1266 iterations, avg loss = 0.036988, sum_reward = -21, curr_eps = 0.875856, len(experience) = 137495
episode 112 took 1108 iterations, avg loss = 0.037493, sum_reward = -20, curr_eps = 0.874859, len(experience) = 138599
episode 113 took 1454 iterations, avg loss = 0.036923, sum_reward = -19, curr_eps = 0.873550, len(experience) = 140049
episode 114 took 1335 iterations, avg loss = 0.037270, sum_reward = -20, curr_eps = 0.872348, len(experience) = 141380
episode 115 took 1120 iterations, avg loss = 0.036559, sum_reward = -21, curr_eps = 0.871340, len(experience) = 142496
episode 116 took 1331 iterations, avg loss = 0.036303, sum_reward = -20, curr_eps = 0.870143, len(experience) = 143823
episode 117 took 1043 iterations, avg loss = 0.037103, sum_reward = -21, curr_eps = 0.869204, len(experience) = 144862
episode 118 took 1120 iterations, avg loss = 0.037146, sum_reward = -20, curr_eps = 0.868196, len(experience) = 145978
episode 119 took 1174 iterations, avg loss = 0.037263, sum_reward = -21, curr_eps = 0.867139, len(experience) = 147148
episode 120 took 1119 iterations, avg loss = 0.036538, sum_reward = -20, curr_eps = 0.866132, len(experience) = 148263
episode 121 took 1186 iterations, avg loss = 0.037032, sum_reward = -20, curr_eps = 0.865065, len(experience) = 149445
episode 122 took 1353 iterations, avg loss = 0.036632, sum_reward = -20, curr_eps = 0.863847, len(experience) = 150794
episode 123 took 1547 iterations, avg loss = 0.036880, sum_reward = -20, curr_eps = 0.862455, len(experience) = 152337
episode 124 took 1339 iterations, avg loss = 0.036429, sum_reward = -21, curr_eps = 0.861250, len(experience) = 153672
episode 125 took 1107 iterations, avg loss = 0.037109, sum_reward = -21, curr_eps = 0.860253, len(experience) = 154775
episode 126 took 1122 iterations, avg loss = 0.036806, sum_reward = -21, curr_eps = 0.859244, len(experience) = 155893
episode 127 took 1129 iterations, avg loss = 0.036612, sum_reward = -20, curr_eps = 0.858227, len(experience) = 157018
episode 128 took 1113 iterations, avg loss = 0.036236, sum_reward = -20, curr_eps = 0.857226, len(experience) = 158127
episode 129 took 1228 iterations, avg loss = 0.036584, sum_reward = -20, curr_eps = 0.856121, len(experience) = 159351
episode 130 took 1069 iterations, avg loss = 0.037063, sum_reward = -21, curr_eps = 0.855158, len(experience) = 160416
episode 131 took 1198 iterations, avg loss = 0.036731, sum_reward = -20, curr_eps = 0.854080, len(experience) = 161610
episode 132 took 1121 iterations, avg loss = 0.036625, sum_reward = -21, curr_eps = 0.853071, len(experience) = 162727
episode 133 took 1164 iterations, avg loss = 0.037080, sum_reward = -21, curr_eps = 0.852024, len(experience) = 163887
episode 134 took 1105 iterations, avg loss = 0.036319, sum_reward = -21, curr_eps = 0.851029, len(experience) = 164988
episode 135 took 1056 iterations, avg loss = 0.036448, sum_reward = -21, curr_eps = 0.850079, len(experience) = 166040
episode 136 took 1114 iterations, avg loss = 0.036508, sum_reward = -20, curr_eps = 0.849076, len(experience) = 167150
episode 137 took 1169 iterations, avg loss = 0.036420, sum_reward = -20, curr_eps = 0.848024, len(experience) = 168315
episode 138 took 1519 iterations, avg loss = 0.036587, sum_reward = -20, curr_eps = 0.846657, len(experience) = 169830
episode 139 took 1261 iterations, avg loss = 0.036731, sum_reward = -20, curr_eps = 0.845522, len(experience) = 171087
episode 140 took 1107 iterations, avg loss = 0.036834, sum_reward = -21, curr_eps = 0.844526, len(experience) = 172190
episode 141 took 1322 iterations, avg loss = 0.037003, sum_reward = -20, curr_eps = 0.843336, len(experience) = 173508
episode 142 took 1125 iterations, avg loss = 0.036368, sum_reward = -21, curr_eps = 0.842324, len(experience) = 174629
episode 143 took 1135 iterations, avg loss = 0.036614, sum_reward = -21, curr_eps = 0.841302, len(experience) = 175760
episode 144 took 1262 iterations, avg loss = 0.036207, sum_reward = -20, curr_eps = 0.840166, len(experience) = 177018
episode 145 took 1357 iterations, avg loss = 0.036695, sum_reward = -20, curr_eps = 0.838945, len(experience) = 178371
episode 146 took 1358 iterations, avg loss = 0.036647, sum_reward = -20, curr_eps = 0.837723, len(experience) = 179725
episode 147 took 1167 iterations, avg loss = 0.036589, sum_reward = -20, curr_eps = 0.836672, len(experience) = 180888
episode 148 took 1401 iterations, avg loss = 0.036347, sum_reward = -20, curr_eps = 0.835412, len(experience) = 182285
episode 149 took 1097 iterations, avg loss = 0.036326, sum_reward = -21, curr_eps = 0.834424, len(experience) = 183378
episode 150 took 1199 iterations, avg loss = 0.036237, sum_reward = -20, curr_eps = 0.833345, len(experience) = 184573
episode 151 took 1086 iterations, avg loss = 0.036205, sum_reward = -21, curr_eps = 0.832368, len(experience) = 185655
episode 152 took 1337 iterations, avg loss = 0.036016, sum_reward = -19, curr_eps = 0.831164, len(experience) = 186988
episode 153 took 1180 iterations, avg loss = 0.036446, sum_reward = -21, curr_eps = 0.830102, len(experience) = 188164
episode 154 took 1115 iterations, avg loss = 0.036977, sum_reward = -20, curr_eps = 0.829099, len(experience) = 189275
episode 155 took 1064 iterations, avg loss = 0.036807, sum_reward = -21, curr_eps = 0.828141, len(experience) = 190335
episode 156 took 1188 iterations, avg loss = 0.035809, sum_reward = -20, curr_eps = 0.827072, len(experience) = 191519
episode 157 took 1206 iterations, avg loss = 0.036318, sum_reward = -21, curr_eps = 0.825987, len(experience) = 192721
episode 158 took 1548 iterations, avg loss = 0.036057, sum_reward = -18, curr_eps = 0.824594, len(experience) = 194265
episode 159 took 1096 iterations, avg loss = 0.036278, sum_reward = -21, curr_eps = 0.823607, len(experience) = 195357
episode 160 took 1131 iterations, avg loss = 0.036356, sum_reward = -21, curr_eps = 0.822589, len(experience) = 196484
episode 161 took 1625 iterations, avg loss = 0.036147, sum_reward = -18, curr_eps = 0.821127, len(experience) = 198105
episode 162 took 1328 iterations, avg loss = 0.036179, sum_reward = -19, curr_eps = 0.819932, len(experience) = 199429
episode 163 took 1298 iterations, avg loss = 0.036019, sum_reward = -21, curr_eps = 0.818763, len(experience) = 200723
episode 164 took 1208 iterations, avg loss = 0.036055, sum_reward = -21, curr_eps = 0.817676, len(experience) = 201927
episode 165 took 1263 iterations, avg loss = 0.035670, sum_reward = -20, curr_eps = 0.816539, len(experience) = 203186
episode 166 took 1286 iterations, avg loss = 0.036415, sum_reward = -20, curr_eps = 0.815382, len(experience) = 204468
episode 167 took 1305 iterations, avg loss = 0.036562, sum_reward = -21, curr_eps = 0.814208, len(experience) = 205769
episode 168 took 1272 iterations, avg loss = 0.036460, sum_reward = -20, curr_eps = 0.813063, len(experience) = 207037
episode 169 took 1500 iterations, avg loss = 0.035999, sum_reward = -19, curr_eps = 0.811713, len(experience) = 208533
episode 170 took 1310 iterations, avg loss = 0.036190, sum_reward = -19, curr_eps = 0.810534, len(experience) = 209839
episode 171 took 1293 iterations, avg loss = 0.036577, sum_reward = -21, curr_eps = 0.809370, len(experience) = 211128
episode 172 took 1591 iterations, avg loss = 0.036091, sum_reward = -20, curr_eps = 0.807938, len(experience) = 212715
episode 173 took 1327 iterations, avg loss = 0.035290, sum_reward = -20, curr_eps = 0.806744, len(experience) = 214038
episode 174 took 1302 iterations, avg loss = 0.036399, sum_reward = -20, curr_eps = 0.805572, len(experience) = 215336
episode 175 took 1331 iterations, avg loss = 0.036396, sum_reward = -18, curr_eps = 0.804374, len(experience) = 216663
episode 176 took 1164 iterations, avg loss = 0.035840, sum_reward = -21, curr_eps = 0.803327, len(experience) = 217823
episode 177 took 1150 iterations, avg loss = 0.035689, sum_reward = -21, curr_eps = 0.802292, len(experience) = 218969
episode 178 took 1262 iterations, avg loss = 0.036438, sum_reward = -20, curr_eps = 0.801156, len(experience) = 220227
episode 179 took 1100 iterations, avg loss = 0.036198, sum_reward = -21, curr_eps = 0.800166, len(experience) = 221323
episode 180 took 1208 iterations, avg loss = 0.035855, sum_reward = -21, curr_eps = 0.799079, len(experience) = 222527
episode 181 took 1085 iterations, avg loss = 0.035963, sum_reward = -21, curr_eps = 0.798102, len(experience) = 223608
episode 182 took 1106 iterations, avg loss = 0.035766, sum_reward = -21, curr_eps = 0.797107, len(experience) = 224710
episode 183 took 1186 iterations, avg loss = 0.035895, sum_reward = -21, curr_eps = 0.796039, len(experience) = 225892
episode 184 took 1177 iterations, avg loss = 0.036013, sum_reward = -20, curr_eps = 0.794980, len(experience) = 227065
episode 185 took 1506 iterations, avg loss = 0.036510, sum_reward = -19, curr_eps = 0.793625, len(experience) = 228567
episode 186 took 1323 iterations, avg loss = 0.036069, sum_reward = -19, curr_eps = 0.792434, len(experience) = 229886
episode 187 took 1535 iterations, avg loss = 0.035982, sum_reward = -19, curr_eps = 0.791052, len(experience) = 231417
episode 188 took 1394 iterations, avg loss = 0.036417, sum_reward = -19, curr_eps = 0.789798, len(experience) = 232807
episode 189 took 1186 iterations, avg loss = 0.035823, sum_reward = -21, curr_eps = 0.788730, len(experience) = 233989
episode 190 took 1037 iterations, avg loss = 0.035601, sum_reward = -21, curr_eps = 0.787797, len(experience) = 235022
episode 191 took 1239 iterations, avg loss = 0.036126, sum_reward = -20, curr_eps = 0.786682, len(experience) = 236257
episode 192 took 1234 iterations, avg loss = 0.036091, sum_reward = -19, curr_eps = 0.785571, len(experience) = 237487
episode 193 took 1030 iterations, avg loss = 0.035675, sum_reward = -21, curr_eps = 0.784644, len(experience) = 238513
episode 194 took 1064 iterations, avg loss = 0.036262, sum_reward = -21, curr_eps = 0.783687, len(experience) = 239573
episode 195 took 1264 iterations, avg loss = 0.035777, sum_reward = -19, curr_eps = 0.782549, len(experience) = 240833
episode 196 took 1218 iterations, avg loss = 0.035983, sum_reward = -20, curr_eps = 0.781453, len(experience) = 242047
episode 197 took 1060 iterations, avg loss = 0.036084, sum_reward = -21, curr_eps = 0.780499, len(experience) = 243103
episode 198 took 1239 iterations, avg loss = 0.036271, sum_reward = -21, curr_eps = 0.779384, len(experience) = 244338
episode 199 took 1337 iterations, avg loss = 0.035894, sum_reward = -19, curr_eps = 0.778181, len(experience) = 245671
episode 200 took 1124 iterations, avg loss = 0.036218, sum_reward = -20, curr_eps = 0.777169, len(experience) = 246791
episode 201 took 1094 iterations, avg loss = 0.035841, sum_reward = -20, curr_eps = 0.776184, len(experience) = 247881
episode 202 took 1316 iterations, avg loss = 0.036023, sum_reward = -20, curr_eps = 0.775000, len(experience) = 249193
episode 203 took 1094 iterations, avg loss = 0.035838, sum_reward = -21, curr_eps = 0.774015, len(experience) = 250283
episode 204 took 1094 iterations, avg loss = 0.035814, sum_reward = -21, curr_eps = 0.773031, len(experience) = 251373
episode 205 took 1082 iterations, avg loss = 0.035854, sum_reward = -21, curr_eps = 0.772057, len(experience) = 252451
episode 206 took 1166 iterations, avg loss = 0.035996, sum_reward = -20, curr_eps = 0.771008, len(experience) = 253613
episode 207 took 1861 iterations, avg loss = 0.036226, sum_reward = -21, curr_eps = 0.769333, len(experience) = 255470
episode 208 took 1321 iterations, avg loss = 0.036102, sum_reward = -20, curr_eps = 0.768144, len(experience) = 256787
episode 209 took 1377 iterations, avg loss = 0.035998, sum_reward = -21, curr_eps = 0.766904, len(experience) = 258160
episode 210 took 1284 iterations, avg loss = 0.035781, sum_reward = -20, curr_eps = 0.765749, len(experience) = 259440
episode 211 took 1125 iterations, avg loss = 0.035388, sum_reward = -20, curr_eps = 0.764736, len(experience) = 260561
episode 212 took 1387 iterations, avg loss = 0.036107, sum_reward = -20, curr_eps = 0.763488, len(experience) = 261944
episode 213 took 1273 iterations, avg loss = 0.036184, sum_reward = -20, curr_eps = 0.762342, len(experience) = 263213
episode 214 took 1210 iterations, avg loss = 0.035773, sum_reward = -21, curr_eps = 0.761253, len(experience) = 264419
episode 215 took 1113 iterations, avg loss = 0.035430, sum_reward = -20, curr_eps = 0.760252, len(experience) = 265528
episode 216 took 1441 iterations, avg loss = 0.035527, sum_reward = -20, curr_eps = 0.758955, len(experience) = 266965
episode 217 took 1113 iterations, avg loss = 0.035772, sum_reward = -20, curr_eps = 0.757953, len(experience) = 268074
episode 218 took 1132 iterations, avg loss = 0.035821, sum_reward = -21, curr_eps = 0.756934, len(experience) = 269202
episode 219 took 1202 iterations, avg loss = 0.035985, sum_reward = -20, curr_eps = 0.755853, len(experience) = 270400
episode 220 took 1543 iterations, avg loss = 0.035613, sum_reward = -19, curr_eps = 0.754464, len(experience) = 271939
episode 221 took 1101 iterations, avg loss = 0.035968, sum_reward = -21, curr_eps = 0.753473, len(experience) = 273036
episode 222 took 1096 iterations, avg loss = 0.035969, sum_reward = -21, curr_eps = 0.752486, len(experience) = 274128
episode 223 took 1213 iterations, avg loss = 0.035770, sum_reward = -20, curr_eps = 0.751395, len(experience) = 275337
episode 224 took 1267 iterations, avg loss = 0.035863, sum_reward = -21, curr_eps = 0.750255, len(experience) = 276600
episode 225 took 1057 iterations, avg loss = 0.035960, sum_reward = -21, curr_eps = 0.749303, len(experience) = 277653
episode 226 took 1368 iterations, avg loss = 0.035766, sum_reward = -21, curr_eps = 0.748072, len(experience) = 279017
episode 227 took 1128 iterations, avg loss = 0.035855, sum_reward = -21, curr_eps = 0.747057, len(experience) = 280141
episode 228 took 1086 iterations, avg loss = 0.035849, sum_reward = -21, curr_eps = 0.746079, len(experience) = 281223
episode 229 took 1118 iterations, avg loss = 0.035795, sum_reward = -20, curr_eps = 0.745073, len(experience) = 282337
episode 230 took 1124 iterations, avg loss = 0.035703, sum_reward = -20, curr_eps = 0.744062, len(experience) = 283457
episode 231 took 1129 iterations, avg loss = 0.035556, sum_reward = -21, curr_eps = 0.743046, len(experience) = 284582
episode 232 took 1330 iterations, avg loss = 0.035532, sum_reward = -19, curr_eps = 0.741848, len(experience) = 285908
episode 233 took 1163 iterations, avg loss = 0.035925, sum_reward = -21, curr_eps = 0.740802, len(experience) = 287067
episode 234 took 1044 iterations, avg loss = 0.035651, sum_reward = -21, curr_eps = 0.739862, len(experience) = 288107
episode 235 took 1176 iterations, avg loss = 0.035573, sum_reward = -21, curr_eps = 0.738804, len(experience) = 289279
episode 236 took 1236 iterations, avg loss = 0.035415, sum_reward = -20, curr_eps = 0.737691, len(experience) = 290511
episode 237 took 1137 iterations, avg loss = 0.035871, sum_reward = -21, curr_eps = 0.736668, len(experience) = 291644
episode 238 took 1113 iterations, avg loss = 0.035828, sum_reward = -21, curr_eps = 0.735666, len(experience) = 292753
episode 239 took 1158 iterations, avg loss = 0.035880, sum_reward = -20, curr_eps = 0.734624, len(experience) = 293907
episode 240 took 1056 iterations, avg loss = 0.035963, sum_reward = -21, curr_eps = 0.733674, len(experience) = 294959
episode 241 took 1193 iterations, avg loss = 0.035875, sum_reward = -20, curr_eps = 0.732600, len(experience) = 296148
episode 242 took 1121 iterations, avg loss = 0.035481, sum_reward = -21, curr_eps = 0.731591, len(experience) = 297265
episode 243 took 1177 iterations, avg loss = 0.035476, sum_reward = -20, curr_eps = 0.730532, len(experience) = 298438
episode 244 took 1284 iterations, avg loss = 0.035887, sum_reward = -20, curr_eps = 0.729376, len(experience) = 299718
episode 245 took 1209 iterations, avg loss = 0.035700, sum_reward = -20, curr_eps = 0.728288, len(experience) = 300923
episode 246 took 1082 iterations, avg loss = 0.035763, sum_reward = -21, curr_eps = 0.727314, len(experience) = 302001
episode 247 took 1138 iterations, avg loss = 0.035652, sum_reward = -21, curr_eps = 0.726290, len(experience) = 303135
episode 248 took 1098 iterations, avg loss = 0.035433, sum_reward = -21, curr_eps = 0.725302, len(experience) = 304229
episode 249 took 1197 iterations, avg loss = 0.035912, sum_reward = -20, curr_eps = 0.724225, len(experience) = 305422
