episode 1 took 1190 iterations, avg loss = 0.121612, sum_reward = -21, curr_eps = 0.998930, len(experience) = 1186
episode 27 took 1375 iterations, avg loss = 0.115572, sum_reward = -19, curr_eps = 0.969772, len(experience) = 33480
episode 28 took 1444 iterations, avg loss = 0.115443, sum_reward = -19, curr_eps = 0.968472, len(experience) = 34920
episode 29 took 1168 iterations, avg loss = 0.115659, sum_reward = -21, curr_eps = 0.967421, len(experience) = 36084
episode 30 took 1238 iterations, avg loss = 0.115707, sum_reward = -19, curr_eps = 0.966307, len(experience) = 37318
episode 31 took 1142 iterations, avg loss = 0.115242, sum_reward = -21, curr_eps = 0.965279, len(experience) = 38456
episode 32 took 1058 iterations, avg loss = 0.115744, sum_reward = -21, curr_eps = 0.964327, len(experience) = 39510
episode 33 took 1086 iterations, avg loss = 0.115763, sum_reward = -21, curr_eps = 0.963349, len(experience) = 40592
episode 34 took 1219 iterations, avg loss = 0.115239, sum_reward = -21, curr_eps = 0.962252, len(experience) = 41807
episode 35 took 1143 iterations, avg loss = 0.114913, sum_reward = -21, curr_eps = 0.961224, len(experience) = 42946
episode 36 took 1217 iterations, avg loss = 0.115207, sum_reward = -21, curr_eps = 0.960128, len(experience) = 44159
episode 37 took 1143 iterations, avg loss = 0.114860, sum_reward = -21, curr_eps = 0.959099, len(experience) = 45298
episode 38 took 1455 iterations, avg loss = 0.115277, sum_reward = -20, curr_eps = 0.957790, len(experience) = 46749
episode 39 took 1015 iterations, avg loss = 0.115515, sum_reward = -21, curr_eps = 0.956877, len(experience) = 47760
episode 40 took 1227 iterations, avg loss = 0.114693, sum_reward = -19, curr_eps = 0.955772, len(experience) = 48983
episode 41 took 1303 iterations, avg loss = 0.115259, sum_reward = -20, curr_eps = 0.954600, len(experience) = 50282
episode 42 took 1092 iterations, avg loss = 0.115887, sum_reward = -21, curr_eps = 0.953617, len(experience) = 51370
episode 43 took 1102 iterations, avg loss = 0.115154, sum_reward = -21, curr_eps = 0.952625, len(experience) = 52468
episode 44 took 1360 iterations, avg loss = 0.115180, sum_reward = -20, curr_eps = 0.951401, len(experience) = 53824
episode 45 took 1141 iterations, avg loss = 0.115379, sum_reward = -20, curr_eps = 0.950374, len(experience) = 54961
episode 46 took 1306 iterations, avg loss = 0.114918, sum_reward = -20, curr_eps = 0.949199, len(experience) = 56263
episode 47 took 1144 iterations, avg loss = 0.115118, sum_reward = -21, curr_eps = 0.948169, len(experience) = 57403
episode 48 took 1005 iterations, avg loss = 0.114239, sum_reward = -21, curr_eps = 0.947264, len(experience) = 58404
episode 49 took 1024 iterations, avg loss = 0.114507, sum_reward = -21, curr_eps = 0.946343, len(experience) = 59424
episode 50 took 1060 iterations, avg loss = 0.115396, sum_reward = -21, curr_eps = 0.945389, len(experience) = 60480
episode 51 took 1555 iterations, avg loss = 0.114901, sum_reward = -20, curr_eps = 0.943989, len(experience) = 62031
episode 52 took 1221 iterations, avg loss = 0.114848, sum_reward = -21, curr_eps = 0.942890, len(experience) = 63248
episode 53 took 1275 iterations, avg loss = 0.115239, sum_reward = -21, curr_eps = 0.941743, len(experience) = 64519
episode 54 took 1126 iterations, avg loss = 0.115267, sum_reward = -20, curr_eps = 0.940730, len(experience) = 65641
episode 55 took 1103 iterations, avg loss = 0.115319, sum_reward = -21, curr_eps = 0.939737, len(experience) = 66740
episode 56 took 1298 iterations, avg loss = 0.114504, sum_reward = -21, curr_eps = 0.938569, len(experience) = 68034
episode 57 took 1004 iterations, avg loss = 0.114235, sum_reward = -21, curr_eps = 0.937665, len(experience) = 69034
episode 58 took 1226 iterations, avg loss = 0.111981, sum_reward = -21, curr_eps = 0.936562, len(experience) = 70256
episode 59 took 1100 iterations, avg loss = 0.063327, sum_reward = -21, curr_eps = 0.935572, len(experience) = 71352
episode 60 took 1021 iterations, avg loss = 0.049906, sum_reward = -21, curr_eps = 0.934653, len(experience) = 72369
episode 61 took 1248 iterations, avg loss = 0.046397, sum_reward = -21, curr_eps = 0.933530, len(experience) = 73613
episode 62 took 1199 iterations, avg loss = 0.039953, sum_reward = -20, curr_eps = 0.932450, len(experience) = 74808
episode 63 took 1184 iterations, avg loss = 0.039373, sum_reward = -21, curr_eps = 0.931385, len(experience) = 75988
episode 64 took 1131 iterations, avg loss = 0.033016, sum_reward = -21, curr_eps = 0.930367, len(experience) = 77115
episode 65 took 1104 iterations, avg loss = 0.037072, sum_reward = -21, curr_eps = 0.929373, len(experience) = 78215
episode 66 took 1505 iterations, avg loss = 0.031535, sum_reward = -19, curr_eps = 0.928019, len(experience) = 79716
episode 67 took 1293 iterations, avg loss = 0.027799, sum_reward = -20, curr_eps = 0.926855, len(experience) = 81005
episode 68 took 1298 iterations, avg loss = 0.027296, sum_reward = -19, curr_eps = 0.925687, len(experience) = 82299
episode 69 took 1491 iterations, avg loss = 0.026813, sum_reward = -18, curr_eps = 0.924345, len(experience) = 83786
episode 70 took 1207 iterations, avg loss = 0.025353, sum_reward = -21, curr_eps = 0.923259, len(experience) = 84989
episode 71 took 1345 iterations, avg loss = 0.025833, sum_reward = -20, curr_eps = 0.922048, len(experience) = 86330
episode 72 took 1390 iterations, avg loss = 0.024551, sum_reward = -18, curr_eps = 0.920797, len(experience) = 87716
episode 73 took 1578 iterations, avg loss = 0.024393, sum_reward = -19, curr_eps = 0.919377, len(experience) = 89290
episode 74 took 1459 iterations, avg loss = 0.024047, sum_reward = -19, curr_eps = 0.918064, len(experience) = 90745
episode 75 took 1315 iterations, avg loss = 0.024201, sum_reward = -19, curr_eps = 0.916880, len(experience) = 92056
episode 76 took 1400 iterations, avg loss = 0.023691, sum_reward = -19, curr_eps = 0.915620, len(experience) = 93452
episode 77 took 1141 iterations, avg loss = 0.022952, sum_reward = -20, curr_eps = 0.914594, len(experience) = 94589
episode 78 took 1182 iterations, avg loss = 0.023255, sum_reward = -21, curr_eps = 0.913530, len(experience) = 95767
episode 79 took 1021 iterations, avg loss = 0.023153, sum_reward = -21, curr_eps = 0.912611, len(experience) = 96784
episode 80 took 1394 iterations, avg loss = 0.022831, sum_reward = -20, curr_eps = 0.911356, len(experience) = 98174
episode 81 took 1028 iterations, avg loss = 0.022173, sum_reward = -21, curr_eps = 0.910431, len(experience) = 99198
episode 82 took 1027 iterations, avg loss = 0.022785, sum_reward = -21, curr_eps = 0.909507, len(experience) = 100221
episode 83 took 1329 iterations, avg loss = 0.022332, sum_reward = -19, curr_eps = 0.908311, len(experience) = 101546
episode 84 took 1207 iterations, avg loss = 0.024046, sum_reward = -20, curr_eps = 0.907224, len(experience) = 102749
episode 85 took 1259 iterations, avg loss = 0.025576, sum_reward = -20, curr_eps = 0.906091, len(experience) = 104004
episode 86 took 1110 iterations, avg loss = 0.023837, sum_reward = -21, curr_eps = 0.905092, len(experience) = 105110
episode 87 took 1188 iterations, avg loss = 0.024304, sum_reward = -21, curr_eps = 0.904023, len(experience) = 106294
episode 88 took 1181 iterations, avg loss = 0.022943, sum_reward = -21, curr_eps = 0.902960, len(experience) = 107471
episode 89 took 1181 iterations, avg loss = 0.022960, sum_reward = -21, curr_eps = 0.901897, len(experience) = 108648
episode 90 took 1299 iterations, avg loss = 0.023117, sum_reward = -20, curr_eps = 0.900728, len(experience) = 109943
episode 91 took 1124 iterations, avg loss = 0.023061, sum_reward = -21, curr_eps = 0.899717, len(experience) = 111063
episode 92 took 1311 iterations, avg loss = 0.022610, sum_reward = -20, curr_eps = 0.898537, len(experience) = 112370
episode 93 took 1129 iterations, avg loss = 0.022058, sum_reward = -20, curr_eps = 0.897521, len(experience) = 113495
episode 94 took 1355 iterations, avg loss = 0.022605, sum_reward = -21, curr_eps = 0.896301, len(experience) = 114846
episode 95 took 1205 iterations, avg loss = 0.022558, sum_reward = -20, curr_eps = 0.895217, len(experience) = 116047
episode 96 took 1429 iterations, avg loss = 0.022497, sum_reward = -19, curr_eps = 0.893930, len(experience) = 117472
episode 97 took 1146 iterations, avg loss = 0.022431, sum_reward = -21, curr_eps = 0.892899, len(experience) = 118614
episode 98 took 1343 iterations, avg loss = 0.021927, sum_reward = -20, curr_eps = 0.891690, len(experience) = 119953
episode 99 took 1217 iterations, avg loss = 0.022357, sum_reward = -20, curr_eps = 0.890595, len(experience) = 121166
episode 100 took 1355 iterations, avg loss = 0.021896, sum_reward = -20, curr_eps = 0.889376, len(experience) = 122517
episode 101 took 1350 iterations, avg loss = 0.022821, sum_reward = -18, curr_eps = 0.888161, len(experience) = 123863
episode 102 took 1400 iterations, avg loss = 0.022279, sum_reward = -21, curr_eps = 0.886901, len(experience) = 125259
episode 103 took 1126 iterations, avg loss = 0.022352, sum_reward = -20, curr_eps = 0.885887, len(experience) = 126381
episode 104 took 1144 iterations, avg loss = 0.021424, sum_reward = -21, curr_eps = 0.884858, len(experience) = 127521
episode 105 took 1239 iterations, avg loss = 0.021750, sum_reward = -21, curr_eps = 0.883742, len(experience) = 128756
episode 106 took 1172 iterations, avg loss = 0.021213, sum_reward = -21, curr_eps = 0.882688, len(experience) = 129924
episode 107 took 1354 iterations, avg loss = 0.022156, sum_reward = -18, curr_eps = 0.881469, len(experience) = 131274
episode 108 took 1281 iterations, avg loss = 0.022098, sum_reward = -20, curr_eps = 0.880316, len(experience) = 132551
episode 109 took 1258 iterations, avg loss = 0.021286, sum_reward = -20, curr_eps = 0.879184, len(experience) = 133805
episode 110 took 1184 iterations, avg loss = 0.021150, sum_reward = -20, curr_eps = 0.878118, len(experience) = 134985
episode 111 took 1050 iterations, avg loss = 0.022075, sum_reward = -21, curr_eps = 0.877173, len(experience) = 136031
episode 112 took 1176 iterations, avg loss = 0.021298, sum_reward = -21, curr_eps = 0.876115, len(experience) = 137203
episode 113 took 1057 iterations, avg loss = 0.021864, sum_reward = -21, curr_eps = 0.875164, len(experience) = 138256
episode 114 took 1261 iterations, avg loss = 0.022049, sum_reward = -20, curr_eps = 0.874029, len(experience) = 139513
episode 115 took 1260 iterations, avg loss = 0.021837, sum_reward = -19, curr_eps = 0.872895, len(experience) = 140769
episode 116 took 1019 iterations, avg loss = 0.021922, sum_reward = -21, curr_eps = 0.871978, len(experience) = 141784
episode 117 took 1356 iterations, avg loss = 0.021139, sum_reward = -20, curr_eps = 0.870757, len(experience) = 143136
episode 118 took 1236 iterations, avg loss = 0.020464, sum_reward = -20, curr_eps = 0.869645, len(experience) = 144368
episode 119 took 1270 iterations, avg loss = 0.021414, sum_reward = -20, curr_eps = 0.868502, len(experience) = 145634
episode 120 took 1190 iterations, avg loss = 0.021092, sum_reward = -20, curr_eps = 0.867431, len(experience) = 146820
episode 121 took 1229 iterations, avg loss = 0.021156, sum_reward = -21, curr_eps = 0.866325, len(experience) = 148045
episode 122 took 1214 iterations, avg loss = 0.020865, sum_reward = -21, curr_eps = 0.865232, len(experience) = 149255
episode 123 took 1042 iterations, avg loss = 0.020857, sum_reward = -21, curr_eps = 0.864294, len(experience) = 150293
episode 124 took 1105 iterations, avg loss = 0.020933, sum_reward = -21, curr_eps = 0.863300, len(experience) = 151394
episode 125 took 1414 iterations, avg loss = 0.020332, sum_reward = -20, curr_eps = 0.862027, len(experience) = 152804
episode 126 took 1180 iterations, avg loss = 0.021748, sum_reward = -21, curr_eps = 0.860965, len(experience) = 153980
episode 127 took 1021 iterations, avg loss = 0.020585, sum_reward = -21, curr_eps = 0.860046, len(experience) = 154997
episode 128 took 1248 iterations, avg loss = 0.020484, sum_reward = -20, curr_eps = 0.858923, len(experience) = 156241
episode 129 took 1127 iterations, avg loss = 0.020697, sum_reward = -21, curr_eps = 0.857909, len(experience) = 157364
episode 130 took 1287 iterations, avg loss = 0.020972, sum_reward = -20, curr_eps = 0.856751, len(experience) = 158647
episode 131 took 1432 iterations, avg loss = 0.020749, sum_reward = -20, curr_eps = 0.855462, len(experience) = 160075
episode 132 took 1162 iterations, avg loss = 0.020968, sum_reward = -21, curr_eps = 0.854416, len(experience) = 161233
episode 133 took 1219 iterations, avg loss = 0.021203, sum_reward = -20, curr_eps = 0.853319, len(experience) = 162448
episode 134 took 1278 iterations, avg loss = 0.020305, sum_reward = -20, curr_eps = 0.852169, len(experience) = 163722
episode 135 took 1049 iterations, avg loss = 0.020508, sum_reward = -21, curr_eps = 0.851225, len(experience) = 164767
episode 136 took 1139 iterations, avg loss = 0.020698, sum_reward = -21, curr_eps = 0.850199, len(experience) = 165902
episode 137 took 1220 iterations, avg loss = 0.020262, sum_reward = -20, curr_eps = 0.849101, len(experience) = 167118
episode 138 took 1218 iterations, avg loss = 0.019932, sum_reward = -20, curr_eps = 0.848005, len(experience) = 168332
episode 139 took 1201 iterations, avg loss = 0.020303, sum_reward = -21, curr_eps = 0.846924, len(experience) = 169529
episode 140 took 1105 iterations, avg loss = 0.020105, sum_reward = -21, curr_eps = 0.845930, len(experience) = 170630
episode 141 took 1309 iterations, avg loss = 0.020051, sum_reward = -19, curr_eps = 0.844752, len(experience) = 171935
episode 142 took 1230 iterations, avg loss = 0.019881, sum_reward = -21, curr_eps = 0.843645, len(experience) = 173161
episode 143 took 1171 iterations, avg loss = 0.019584, sum_reward = -20, curr_eps = 0.842591, len(experience) = 174328
episode 144 took 1127 iterations, avg loss = 0.020468, sum_reward = -20, curr_eps = 0.841577, len(experience) = 175451
episode 145 took 1413 iterations, avg loss = 0.020225, sum_reward = -20, curr_eps = 0.840305, len(experience) = 176860
episode 146 took 1041 iterations, avg loss = 0.019858, sum_reward = -21, curr_eps = 0.839368, len(experience) = 177897
episode 147 took 1142 iterations, avg loss = 0.019787, sum_reward = -21, curr_eps = 0.838340, len(experience) = 179035
episode 148 took 1251 iterations, avg loss = 0.020363, sum_reward = -20, curr_eps = 0.837214, len(experience) = 180282
episode 149 took 1246 iterations, avg loss = 0.019804, sum_reward = -19, curr_eps = 0.836093, len(experience) = 181524
episode 150 took 1183 iterations, avg loss = 0.020024, sum_reward = -20, curr_eps = 0.835028, len(experience) = 182703
episode 151 took 1371 iterations, avg loss = 0.019645, sum_reward = -19, curr_eps = 0.833794, len(experience) = 184070
episode 152 took 1047 iterations, avg loss = 0.019767, sum_reward = -21, curr_eps = 0.832852, len(experience) = 185113
episode 153 took 1069 iterations, avg loss = 0.019597, sum_reward = -21, curr_eps = 0.831890, len(experience) = 186178
episode 154 took 1221 iterations, avg loss = 0.019848, sum_reward = -20, curr_eps = 0.830791, len(experience) = 187395
episode 155 took 1142 iterations, avg loss = 0.020578, sum_reward = -20, curr_eps = 0.829763, len(experience) = 188533
episode 156 took 1267 iterations, avg loss = 0.020659, sum_reward = -21, curr_eps = 0.828623, len(experience) = 189796
episode 157 took 1423 iterations, avg loss = 0.019825, sum_reward = -21, curr_eps = 0.827342, len(experience) = 191215
episode 158 took 1187 iterations, avg loss = 0.019472, sum_reward = -20, curr_eps = 0.826274, len(experience) = 192398
episode 159 took 1267 iterations, avg loss = 0.019569, sum_reward = -21, curr_eps = 0.825134, len(experience) = 193661
episode 160 took 1195 iterations, avg loss = 0.019624, sum_reward = -20, curr_eps = 0.824058, len(experience) = 194852
episode 161 took 1130 iterations, avg loss = 0.019774, sum_reward = -20, curr_eps = 0.823041, len(experience) = 195978
episode 162 took 1198 iterations, avg loss = 0.020552, sum_reward = -21, curr_eps = 0.821963, len(experience) = 197172
episode 163 took 1552 iterations, avg loss = 0.019762, sum_reward = -18, curr_eps = 0.820566, len(experience) = 198720
episode 164 took 1308 iterations, avg loss = 0.020140, sum_reward = -20, curr_eps = 0.819389, len(experience) = 200024
episode 165 took 1695 iterations, avg loss = 0.019597, sum_reward = -19, curr_eps = 0.817863, len(experience) = 201715
episode 166 took 1156 iterations, avg loss = 0.019736, sum_reward = -21, curr_eps = 0.816823, len(experience) = 202867
episode 167 took 1121 iterations, avg loss = 0.020236, sum_reward = -21, curr_eps = 0.815814, len(experience) = 203984
episode 168 took 1469 iterations, avg loss = 0.019606, sum_reward = -19, curr_eps = 0.814492, len(experience) = 205449
episode 169 took 1095 iterations, avg loss = 0.019735, sum_reward = -21, curr_eps = 0.813507, len(experience) = 206540
episode 170 took 1077 iterations, avg loss = 0.019622, sum_reward = -21, curr_eps = 0.812537, len(experience) = 207613
episode 171 took 1118 iterations, avg loss = 0.020042, sum_reward = -21, curr_eps = 0.811531, len(experience) = 208727
episode 172 took 1391 iterations, avg loss = 0.019822, sum_reward = -19, curr_eps = 0.810279, len(experience) = 210114
episode 173 took 1224 iterations, avg loss = 0.020257, sum_reward = -21, curr_eps = 0.809177, len(experience) = 211334
episode 174 took 1202 iterations, avg loss = 0.019384, sum_reward = -20, curr_eps = 0.808096, len(experience) = 212532
episode 175 took 1150 iterations, avg loss = 0.019479, sum_reward = -20, curr_eps = 0.807061, len(experience) = 213678
episode 176 took 1337 iterations, avg loss = 0.019738, sum_reward = -20, curr_eps = 0.805857, len(experience) = 215011
episode 177 took 1182 iterations, avg loss = 0.019459, sum_reward = -21, curr_eps = 0.804794, len(experience) = 216189
episode 178 took 1215 iterations, avg loss = 0.020147, sum_reward = -20, curr_eps = 0.803700, len(experience) = 217400
episode 179 took 1120 iterations, avg loss = 0.019221, sum_reward = -20, curr_eps = 0.802692, len(experience) = 218516
episode 180 took 1083 iterations, avg loss = 0.019650, sum_reward = -21, curr_eps = 0.801717, len(experience) = 219595
episode 181 took 1126 iterations, avg loss = 0.020140, sum_reward = -20, curr_eps = 0.800704, len(experience) = 220717
episode 182 took 1291 iterations, avg loss = 0.019883, sum_reward = -21, curr_eps = 0.799542, len(experience) = 222004
episode 183 took 1082 iterations, avg loss = 0.019894, sum_reward = -21, curr_eps = 0.798568, len(experience) = 223082
episode 184 took 1129 iterations, avg loss = 0.019514, sum_reward = -20, curr_eps = 0.797552, len(experience) = 224207
episode 185 took 1217 iterations, avg loss = 0.020109, sum_reward = -20, curr_eps = 0.796457, len(experience) = 225420
episode 186 took 1075 iterations, avg loss = 0.021248, sum_reward = -21, curr_eps = 0.795489, len(experience) = 226491
episode 187 took 1244 iterations, avg loss = 0.020322, sum_reward = -20, curr_eps = 0.794370, len(experience) = 227731
episode 188 took 1015 iterations, avg loss = 0.020788, sum_reward = -21, curr_eps = 0.793456, len(experience) = 228742
episode 189 took 1369 iterations, avg loss = 0.021121, sum_reward = -20, curr_eps = 0.792224, len(experience) = 230107
episode 190 took 1354 iterations, avg loss = 0.020439, sum_reward = -19, curr_eps = 0.791006, len(experience) = 231457
episode 191 took 1117 iterations, avg loss = 0.019865, sum_reward = -21, curr_eps = 0.790000, len(experience) = 232570
episode 192 took 1200 iterations, avg loss = 0.020975, sum_reward = -20, curr_eps = 0.788920, len(experience) = 233766
episode 193 took 1009 iterations, avg loss = 0.019911, sum_reward = -21, curr_eps = 0.788012, len(experience) = 234771
episode 194 took 1178 iterations, avg loss = 0.019506, sum_reward = -20, curr_eps = 0.786952, len(experience) = 235945
episode 195 took 1287 iterations, avg loss = 0.020108, sum_reward = -19, curr_eps = 0.785794, len(experience) = 237228
episode 196 took 1126 iterations, avg loss = 0.019285, sum_reward = -21, curr_eps = 0.784780, len(experience) = 238350
episode 197 took 1453 iterations, avg loss = 0.020290, sum_reward = -17, curr_eps = 0.783473, len(experience) = 239799
episode 198 took 1113 iterations, avg loss = 0.020152, sum_reward = -20, curr_eps = 0.782471, len(experience) = 240908
episode 199 took 1157 iterations, avg loss = 0.020635, sum_reward = -21, curr_eps = 0.781430, len(experience) = 242061
episode 200 took 1435 iterations, avg loss = 0.020203, sum_reward = -20, curr_eps = 0.780138, len(experience) = 243492
episode 201 took 1190 iterations, avg loss = 0.020185, sum_reward = -21, curr_eps = 0.779067, len(experience) = 244678
episode 202 took 1324 iterations, avg loss = 0.020549, sum_reward = -20, curr_eps = 0.777875, len(experience) = 245998
episode 203 took 1170 iterations, avg loss = 0.020778, sum_reward = -21, curr_eps = 0.776822, len(experience) = 247164
episode 204 took 1154 iterations, avg loss = 0.019935, sum_reward = -20, curr_eps = 0.775784, len(experience) = 248314
episode 205 took 1323 iterations, avg loss = 0.020274, sum_reward = -20, curr_eps = 0.774593, len(experience) = 249633
episode 206 took 1136 iterations, avg loss = 0.020104, sum_reward = -21, curr_eps = 0.773571, len(experience) = 250765
episode 207 took 1208 iterations, avg loss = 0.020858, sum_reward = -20, curr_eps = 0.772484, len(experience) = 251969
episode 208 took 1745 iterations, avg loss = 0.021422, sum_reward = -17, curr_eps = 0.770913, len(experience) = 253710
episode 209 took 1223 iterations, avg loss = 0.021924, sum_reward = -20, curr_eps = 0.769812, len(experience) = 254929
episode 210 took 1293 iterations, avg loss = 0.020649, sum_reward = -20, curr_eps = 0.768649, len(experience) = 256218
episode 211 took 1125 iterations, avg loss = 0.019760, sum_reward = -21, curr_eps = 0.767636, len(experience) = 257339
episode 212 took 1101 iterations, avg loss = 0.020168, sum_reward = -21, curr_eps = 0.766645, len(experience) = 258436
episode 213 took 1448 iterations, avg loss = 0.020405, sum_reward = -18, curr_eps = 0.765342, len(experience) = 259880
episode 214 took 1103 iterations, avg loss = 0.020508, sum_reward = -21, curr_eps = 0.764349, len(experience) = 260979
episode 215 took 1135 iterations, avg loss = 0.020151, sum_reward = -21, curr_eps = 0.763328, len(experience) = 262110
episode 216 took 1225 iterations, avg loss = 0.021138, sum_reward = -21, curr_eps = 0.762225, len(experience) = 263331
episode 217 took 1139 iterations, avg loss = 0.021081, sum_reward = -21, curr_eps = 0.761200, len(experience) = 264466
episode 218 took 1583 iterations, avg loss = 0.020542, sum_reward = -19, curr_eps = 0.759776, len(experience) = 266045
episode 219 took 1495 iterations, avg loss = 0.020266, sum_reward = -18, curr_eps = 0.758430, len(experience) = 267536
episode 220 took 1126 iterations, avg loss = 0.020302, sum_reward = -20, curr_eps = 0.757417, len(experience) = 268658
episode 221 took 1118 iterations, avg loss = 0.021187, sum_reward = -20, curr_eps = 0.756410, len(experience) = 269772
episode 222 took 1455 iterations, avg loss = 0.020507, sum_reward = -18, curr_eps = 0.755101, len(experience) = 271223
episode 223 took 1011 iterations, avg loss = 0.020980, sum_reward = -21, curr_eps = 0.754191, len(experience) = 272230
episode 224 took 1130 iterations, avg loss = 0.019317, sum_reward = -21, curr_eps = 0.753174, len(experience) = 273356
episode 225 took 1203 iterations, avg loss = 0.019751, sum_reward = -20, curr_eps = 0.752091, len(experience) = 274555
episode 226 took 1162 iterations, avg loss = 0.019931, sum_reward = -20, curr_eps = 0.751046, len(experience) = 275713
episode 227 took 1131 iterations, avg loss = 0.019633, sum_reward = -21, curr_eps = 0.750028, len(experience) = 276840
episode 228 took 1268 iterations, avg loss = 0.021001, sum_reward = -20, curr_eps = 0.748887, len(experience) = 278104
episode 229 took 1123 iterations, avg loss = 0.019883, sum_reward = -21, curr_eps = 0.747876, len(experience) = 279223
episode 230 took 1084 iterations, avg loss = 0.019291, sum_reward = -21, curr_eps = 0.746900, len(experience) = 280303
episode 231 took 1238 iterations, avg loss = 0.020123, sum_reward = -20, curr_eps = 0.745786, len(experience) = 281537
episode 232 took 1182 iterations, avg loss = 0.019697, sum_reward = -21, curr_eps = 0.744722, len(experience) = 282715
episode 233 took 1166 iterations, avg loss = 0.020586, sum_reward = -20, curr_eps = 0.743673, len(experience) = 283877
episode 234 took 1019 iterations, avg loss = 0.021018, sum_reward = -21, curr_eps = 0.742756, len(experience) = 284892
episode 235 took 1071 iterations, avg loss = 0.020745, sum_reward = -21, curr_eps = 0.741792, len(experience) = 285959
episode 236 took 1186 iterations, avg loss = 0.020708, sum_reward = -20, curr_eps = 0.740724, len(experience) = 287141
episode 237 took 1160 iterations, avg loss = 0.020407, sum_reward = -21, curr_eps = 0.739680, len(experience) = 288297
episode 238 took 1085 iterations, avg loss = 0.020315, sum_reward = -21, curr_eps = 0.738704, len(experience) = 289378
episode 239 took 1160 iterations, avg loss = 0.019938, sum_reward = -20, curr_eps = 0.737660, len(experience) = 290534
episode 240 took 1229 iterations, avg loss = 0.019402, sum_reward = -20, curr_eps = 0.736554, len(experience) = 291759
episode 241 took 1065 iterations, avg loss = 0.020237, sum_reward = -21, curr_eps = 0.735595, len(experience) = 292820
episode 242 took 1115 iterations, avg loss = 0.019402, sum_reward = -20, curr_eps = 0.734592, len(experience) = 293931
episode 243 took 1176 iterations, avg loss = 0.018929, sum_reward = -21, curr_eps = 0.733533, len(experience) = 295103
episode 244 took 1226 iterations, avg loss = 0.019830, sum_reward = -21, curr_eps = 0.732430, len(experience) = 296325
episode 245 took 1053 iterations, avg loss = 0.021089, sum_reward = -21, curr_eps = 0.731482, len(experience) = 297374
episode 246 took 1242 iterations, avg loss = 0.020119, sum_reward = -21, curr_eps = 0.730364, len(experience) = 298612
episode 247 took 1095 iterations, avg loss = 0.020322, sum_reward = -21, curr_eps = 0.729379, len(experience) = 299703
episode 248 took 1111 iterations, avg loss = 0.020246, sum_reward = -20, curr_eps = 0.728379, len(experience) = 300810
episode 249 took 1186 iterations, avg loss = 0.019580, sum_reward = -21, curr_eps = 0.727312, len(experience) = 301992
